"Resp_Day","ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR","log_mass","Month","resid","SMR_mass","SMR_resid","RMR_mass","RMR_resid","MMR_mass","MMR_resid","Rack","Bin","TagID","Final_Mass_g","Final_Length_mm","Gonad_mass_g","Sex","Fat_mass_g","Ventricle_mass_g","Otolith_age_y","mass_prev","SGR","Period_start","Period_end","SMR_prev","SMR_mass_prev","RMR_prev","RMR_mass_prev","MMR_prev","MMR_mass_prev","Overall_SGR","SGR_predict","SGR_resid","time","Month_int","GutRatio_1","GutRatio_2"
2,102,"A3",18,0.267975201484832,0.0121288702247208,4.52611665464402,2023-04-28 16:37:00,2023-04-29 11:17:00,1.97,73,708.03,0.143328482611627,0.730610532205452,0.294466226161593,"April",-0.0518254014592907,0.46924042638646,-0.0522386022171621,0.578069506889671,-0.120028972676725,1.61390865231712,-0.0518254014592907,3,8,"RR",4.55,94,0.056,"F",0.165,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.676470588,0.659959759
2,103,"A4",18,0.187256808432541,0.0149476820570703,7.98245050857803,2023-04-28 16:37:00,2023-04-29 11:17:00,0.66,61,709.34,0.0617796089839612,0.4328589393522,-0.180456064458131,"April",-0.0115193944759038,0.606255519986468,0.0590216829338003,0.75169002726092,-0.00597024520388095,1.77086297099946,-0.0115193944759038,3,8,"BL",2.3,78,0.012,"I",0.077,"0.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.549848943,0.602184087
2,104,"B2",18,0.292978669187779,0.0386979789252069,13.2084629343456,2023-04-28 16:37:00,2023-04-29 11:17:00,1.61,73,708.39,0.080770712402092,0.607996705606355,0.20682587603185,"April",0.0293417633590497,0.73084069504253,0.140188698992333,0.977235532737113,0.107990216072923,1.94556665684643,0.0293417633590497,3,8,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,NA,NA
2,105,"C3",18,0.320178502484014,0.0235463452598486,7.35413061063468,2023-04-28 16:37:00,2023-04-29 11:17:00,1.42,67,708.58,0.19341853468678,0.799870317724764,0.152288344383056,"April",-0.0140041324600843,0.533577092271494,0.00356315305062076,0.663281525507551,-0.0603111326750939,1.76076022421372,-0.0140041324600843,3,9,"YL",10.54,117,0.004,"I",0.888,"0.003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.627627628,0.654752852
2,106,"C1",18,0.234298663383159,0.00416638716751956,1.77823770198214,2023-04-28 16:37:00,2023-04-29 11:17:00,0.97,66,709.03,0.173641263244373,0.574605627259255,-0.0132282657337552,"April",-0.0245534536108227,0.624148467464819,0.0716538855153069,0.790689005050333,0.0159966660802362,1.71850538653284,-0.0245534536108227,3,9,"YR",3.92,91,0.018,"I",0.215,"0.004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.612474438,0.583529412
2,107,"D3",18,0.536400096389561,0.0517843650812852,9.65405588661132,2023-04-28 16:37:00,2023-04-29 11:17:00,1.88,78,708.12,0.277109440506584,0.996843353280725,0.27415784926368,"April",-0.20698872245232,0.561901610299188,0.0260262537317693,0.742777760150638,-0.0111501418120419,1.12905637926817,-0.20698872245232,3,9,"BrL",5.998,103,0.006,"I",0.471,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.601554908,0.630687831
2,108,"D2",18,0.3192435571969,0.0593465379630889,18.5897370910718,2023-04-28 16:37:00,2023-04-29 11:17:00,1.07,66,708.93,0.0893440345208135,0.902378779321813,0.0293837776852097,"April",-0.313773631940551,0.415005108164244,-0.105580580631315,0.494947869126933,-0.187449574817141,0.882939038817172,-0.313773631940551,3,9,"BrR",1.811,73,0.001,"I",0.021,"0.001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.61517976,0.604719764
2,109,"C4",18,0.314341253423149,0.0177580888846949,5.64930268977133,2023-04-28 16:37:00,2023-04-29 11:17:00,1.72,73,708.28,0.20619429200928,1.31335116443411,0.235528446907549,"April",0.00183978458188817,0.507246166212698,-0.0184152496649366,0.65356160269302,-0.0667225045652739,1.82618232860513,0.00183978458188817,3,9,"RL",7.28,108,0.043,"M",0.383,"0.005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.693013409,0.632921811
2,110,"C2",18,0.209497520875201,0.00866219955951827,4.13475038908856,2023-04-28 16:37:00,2023-04-29 11:17:00,0.79,64,709.21,0.134395266158237,0.57898518108219,-0.102372908709559,"April",-0.154277891045511,0.529534966226564,0.000260619734752628,0.727616750803415,-0.0201063450626534,1.2747542257449,-0.154277891045511,3,9,"RR",1.32,67,0.01,"I",0.009,"0.001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.56851312,0.695
2,111,"D1",18,0.235511032124582,0.0530502852474645,22.5256051781905,2023-04-28 16:37:00,2023-04-29 11:17:00,0.76,60,709.24,0.0444300815471187,0.681185188937304,-0.119186407719209,"April",-0.0122722805028801,0.746145688720343,0.149189610979756,0.795365445182546,0.018557685381261,1.7677956904971,-0.0122722805028801,3,9,"BL",5.39,99,0.035,"I",0.301,"0.007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.632978723,0.62657614
