Date,Fish_Num,Rack,Bin,Rack_Bin,Mass_g,Length_mm,TagID,Month
31/05/2023,79,1,15,1.15,2.62,81,BL,2
24/06/2023,79,1,15,1.15,2.89,82,BL,3
5/04/2023,80,1,15,1.15,2.608,80,BR,0
8/05/2023,80,1,15,1.15,2.28,79,BR,1
31/05/2023,80,1,15,1.15,2.93,81,BR,2
24/06/2023,80,1,15,1.15,3.76,84,BR,3
5/04/2023,81,3,6,3.6,1.821,73,YL,0
27/04/2023,81,3,6,3.6,1.93,71,YL,1
22/05/2023,81,3,6,3.6,2.65,77,YL,2
15/06/2023,81,3,6,3.6,3.62,86,YL,3
5/04/2023,82,3,6,3.6,1.255,60,YR,0
27/04/2023,82,3,6,3.6,0.74,60,YR,1
22/05/2023,82,3,6,3.6,0.81,62,YR,2
15/06/2023,82,3,6,3.6,1.2,66,YR,3
5/04/2023,83,3,6,3.6,1.098,73,BrL,0
27/04/2023,83,3,6,3.6,1.43,72,BrL,1
22/05/2023,83,3,6,3.6,1.78,73,BrL,2
15/06/2023,83,3,6,3.6,1.95,75,BrL,3
5/04/2023,84,3,6,3.6,2.248,75,BrR,0
27/04/2023,84,3,6,3.6,2.1,76,BrR,1
22/05/2023,84,3,6,3.6,2.73,78,BrR,2
15/06/2023,84,3,6,3.6,2.47,79,BrR,3
5/04/2023,85,3,6,3.6,1.884,76,RL,0
27/04/2023,85,3,6,3.6,1.75,75,RL,1
22/05/2023,85,3,6,3.6,2.29,80,RL,2
15/06/2023,85,3,6,3.6,3.8,88,RL,3
5/04/2023,86,3,6,3.6,0.873,63,RR,0
27/04/2023,86,3,6,3.6,0.78,59,RR,1
22/05/2023,86,3,6,3.6,0.98,64,RR,2
15/06/2023,86,3,6,3.6,2.04,75,RR,3
5/04/2023,87,3,6,3.6,2.669,82,BL,0
27/04/2023,87,3,6,3.6,2.28,80,BL,1
22/05/2023,87,3,6,3.6,2.04,80,BL,2
15/06/2023,87,3,6,3.6,2.15,81,BL,3
5/04/2023,88,3,6,3.6,2.072,76,BR,0
27/04/2023,88,3,6,3.6,2.18,76,BR,1
22/05/2023,88,3,6,3.6,2.43,77,BR,2
15/06/2023,88,3,6,3.6,2.43,80,BR,3
5/04/2023,89,3,7,3.7,2.136,75,YL,0
27/04/2023,89,3,7,3.7,2.24,78,YL,1
22/05/2023,89,3,7,3.7,2.31,78,YL,2
15/06/2023,89,3,7,3.7,3.07,82,YL,3
5/04/2023,90,3,7,3.7,1.592,64,YR,0
27/04/2023,90,3,7,3.7,1.23,64,YR,1
22/05/2023,90,3,7,3.7,1.65,68,YR,2
15/06/2023,90,3,7,3.7,2.61,77,YR,3
5/04/2023,91,3,7,3.7,2.254,76,BrL,0
27/04/2023,91,3,7,3.7,2.02,73,BrL,1
5/04/2023,92,3,7,3.7,0.928,58,BrR,0
27/04/2023,92,3,7,3.7,0.68,58,BrR,1
5/04/2023,93,3,7,3.7,1.488,66,RL,0
27/04/2023,93,3,7,3.7,1.22,66,RL,1
5/04/2023,94,3,7,3.7,1.578,73,RR,0
27/04/2023,94,3,7,3.7,1.99,73,RR,1
22/05/2023,94,3,7,3.7,1.86,73,RR,2
15/06/2023,94,3,7,3.7,2.1,74,RR,3
5/04/2023,95,3,7,3.7,2.962,85,BL,0
27/04/2023,95,3,7,3.7,2.83,83,BL,1
22/05/2023,95,3,7,3.7,2.59,83,BL,2
15/06/2023,95,3,7,3.7,2.23,84,BL,3
5/04/2023,96,3,7,3.7,2.435,77,BR,0
27/04/2023,96,3,7,3.7,2.16,78,BR,1
22/05/2023,96,3,7,3.7,2.27,78,BR,2
15/06/2023,96,3,7,3.7,2.75,85,BR,3
5/04/2023,97,3,8,3.8,1.211,67,YL,0
28/04/2023,97,3,8,3.8,1.08,65,YL,1
5/04/2023,98,3,8,3.8,2.261,75,YR,0
28/04/2023,98,3,8,3.8,2.26,78,YR,1
23/05/2023,98,3,8,3.8,2.53,80,YR,2
16/06/2023,98,3,8,3.8,2.96,85,YR,3
5/04/2023,99,3,8,3.8,1.077,61,BrL,0
28/04/2023,99,3,8,3.8,0.91,61,BrL,1
23/05/2023,99,3,8,3.8,0.89,61,BrL,2
23/05/2023,100,3,8,3.8,2.2,87,BrR,2
16/06/2023,99,3,8,3.8,1.23,66,BrL,3
16/06/2023,100,3,8,3.8,2.76,81,BrR,3
