DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
b5e1dc4d-8338-4a1e-b568-9afe5f9fb4b4,445504,S332 Rack 2 Temperature,24/11/2022 20:00,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
f1200cbe-242f-4746-b1f7-9e1a81966e98,445504,S332 Rack 2 Temperature,24/11/2022 19:50,18.5,18.5° C,100,18.5,18,911279,FALSE,57,3.05
aacc5e01-d205-44ce-91a9-13578c8db246,445504,S332 Rack 2 Temperature,24/11/2022 19:40,18.5,18.5° C,100,18.5,18,911279,FALSE,57,3.05
0070ed2c-9716-43d9-b135-339ebf92c62e,445504,S332 Rack 2 Temperature,24/11/2022 19:30,18.5,18.5° C,100,18.5,18,911279,FALSE,57,3.05
fb9ca925-a986-4da1-aa82-a86bf9cf803a,445504,S332 Rack 2 Temperature,24/11/2022 19:20,18.5,18.5° C,100,18.5,18,911279,FALSE,54,3.04
3bd346c9-8127-410d-99a4-011b766b3391,445504,S332 Rack 2 Temperature,24/11/2022 19:10,18.4,18.4° C,100,18.4,18,911279,FALSE,57,3.05
c17fe243-8bc4-4af0-ad11-6801450b9e93,445504,S332 Rack 2 Temperature,24/11/2022 19:00,18.5,18.5° C,100,18.5,18,911279,FALSE,60,3.05
5cc38751-6bba-4112-9ca2-d122d352d773,445504,S332 Rack 2 Temperature,24/11/2022 18:50,18.5,18.5° C,100,18.5,18,911279,FALSE,57,3.05
9032adb2-04d0-48c5-be0c-1ac93b2a8e9b,445504,S332 Rack 2 Temperature,24/11/2022 18:40,18.5,18.5° C,100,18.5,18,911279,FALSE,60,3.05
b736797a-2acf-4a1f-8b90-6f7369f60936,445504,S332 Rack 2 Temperature,24/11/2022 18:30,18.4,18.4° C,100,18.4,18,911279,FALSE,51,3.04
2396f65f-a67d-49ff-91b1-918441d514bb,445504,S332 Rack 2 Temperature,24/11/2022 18:20,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
ce5310e0-1332-4ce8-9823-86367a209e79,445504,S332 Rack 2 Temperature,24/11/2022 18:10,18.4,18.4° C,100,18.4,18,911279,FALSE,57,3.04
3e6fc5ba-cb93-4f6c-82e0-48721dee978f,445504,S332 Rack 2 Temperature,24/11/2022 18:00,18.4,18.4° C,100,18.4,18,911279,FALSE,54,3.06
52dbfeb9-6858-4c7b-874f-b77aa7984baa,445504,S332 Rack 2 Temperature,24/11/2022 17:50,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
9a6256ad-e282-42a5-a962-c3ed874500bf,445504,S332 Rack 2 Temperature,24/11/2022 17:40,18.4,18.4° C,100,18.4,18,911279,FALSE,54,3.04
3486f314-a9a9-47f5-87df-9482ab28529a,445504,S332 Rack 2 Temperature,24/11/2022 17:30,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
8d9307b2-eace-44a0-a676-a537f2f8f0d3,445504,S332 Rack 2 Temperature,24/11/2022 17:20,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.04
b9586a76-41b9-4027-99f4-78cac25a5f8e,445504,S332 Rack 2 Temperature,24/11/2022 17:10,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
61513043-d4fd-4b2e-b0f2-b96eec103d15,445504,S332 Rack 2 Temperature,24/11/2022 17:00,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
c62bc8f1-7893-4fe6-90cb-5516e89ab6db,445504,S332 Rack 2 Temperature,24/11/2022 16:50,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.05
2d7dfebf-ad5a-4fc0-8645-ba92de2c1dde,445504,S332 Rack 2 Temperature,24/11/2022 16:40,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.03
25ae5ae5-b635-4091-b116-23639e224f44,445504,S332 Rack 2 Temperature,24/11/2022 16:30,18.3,18.3° C,100,18.3,18,911279,FALSE,60,3.06
669f6327-84f2-4aa2-8f0b-bebee45c2541,445504,S332 Rack 2 Temperature,24/11/2022 16:20,18.3,18.3° C,100,18.3,18,911279,FALSE,54,3.05
099737ba-fde6-4f0b-86dc-b455623682b2,445504,S332 Rack 2 Temperature,24/11/2022 16:10,18.3,18.3° C,100,18.3,18,911279,FALSE,54,3.04
91a632f5-61b3-4fac-9a81-e27d8db477ed,445504,S332 Rack 2 Temperature,24/11/2022 16:00,18.2,18.2° C,100,18.2,18,911279,FALSE,60,3.05
0c67080d-52d2-4b64-a81f-00a3625f2369,445504,S332 Rack 2 Temperature,24/11/2022 15:50,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.05
a9f0ff91-0d53-48ab-95bd-b85a15536ae1,445504,S332 Rack 2 Temperature,24/11/2022 15:40,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.05
030742ee-70ca-4305-9058-74d2167e39e1,445504,S332 Rack 2 Temperature,24/11/2022 15:30,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.05
6e379b4b-e239-4cda-b2ca-f77357568cf9,445504,S332 Rack 2 Temperature,24/11/2022 15:20,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.05
bff5f8fa-dd06-4b0d-9cde-1397fdc7dd41,445504,S332 Rack 2 Temperature,24/11/2022 15:10,18.1,18.1° C,100,18.1,18,911279,FALSE,57,3.05
465cdc34-8db1-48e9-b17d-7c1cb146aaf9,445504,S332 Rack 2 Temperature,24/11/2022 15:00,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.05
681a63b3-ad19-4f3f-8f23-cb7ebc9ec04e,445504,S332 Rack 2 Temperature,24/11/2022 14:50,18.2,18.2° C,100,18.2,18,911279,FALSE,61,3.04
3e2b700b-42a0-404c-a1da-02aff297bb96,445504,S332 Rack 2 Temperature,24/11/2022 14:40,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.05
879d4cdd-00ac-4531-a4fd-1ab02a8e25d5,445504,S332 Rack 2 Temperature,24/11/2022 14:30,18.2,18.2° C,100,18.2,18,911279,FALSE,54,3.06
cb894ce6-8f5f-4e71-8c76-e654d0ab9aa0,445504,S332 Rack 2 Temperature,24/11/2022 14:20,18.1,18.1° C,100,18.1,18,911279,FALSE,54,3.05
568e08cd-275d-4202-8fbb-711f9d440dc4,445504,S332 Rack 2 Temperature,24/11/2022 14:10,18.1,18.1° C,100,18.1,18,911279,FALSE,57,3.06
d6485f23-daba-4d36-ac0d-9873a1e10ca0,445504,S332 Rack 2 Temperature,24/11/2022 14:00,18.2,18.2° C,100,18.2,18,911279,FALSE,57,3.04
3cba9431-ea4c-47ea-b632-3fd8af2e2771,445504,S332 Rack 2 Temperature,24/11/2022 13:50,18.1,18.1° C,100,18.1,18,911279,FALSE,68,3.04
f95ddb1a-19e2-4b80-8825-eb0801a0abb4,445504,S332 Rack 2 Temperature,24/11/2022 13:40,18.1,18.1° C,100,18.1,18,911279,FALSE,61,3.06
231b60f6-dacd-47f6-a78d-ab516fb7380b,445504,S332 Rack 2 Temperature,24/11/2022 13:30,18.1,18.1° C,100,18.1,18,911279,FALSE,64,3.05
14789451-1201-4635-94ba-8df5efd4cc55,445504,S332 Rack 2 Temperature,24/11/2022 13:20,18.1,18.1° C,100,18.1,18,911279,FALSE,62,3.06
08d34545-113f-4820-b89e-79f6b447207e,445504,S332 Rack 2 Temperature,24/11/2022 13:10,18.1,18.1° C,100,18.1,18,911279,FALSE,57,3.05
2670f0ea-7006-425f-8285-98bc66de621d,445504,S332 Rack 2 Temperature,24/11/2022 13:00,18.1,18.1° C,100,18.1,18,911279,FALSE,62,3.05
032b0b4a-ca1f-45dc-9974-8cb2c1e00b87,445504,S332 Rack 2 Temperature,24/11/2022 12:50,18.1,18.1° C,100,18.1,18,911279,FALSE,62,3.05
99dc55a4-40f6-438e-ac19-0de07a659c92,445504,S332 Rack 2 Temperature,24/11/2022 12:40,18,18° C,100,18,18,911279,FALSE,62,3.05
d35e12b9-ec6f-4a54-b4b0-70d7b18f42ef,445504,S332 Rack 2 Temperature,24/11/2022 12:30,18.1,18.1° C,100,18.1,18,911279,FALSE,64,3.05
